Q_id	S1_id	S2_id	Overlap_coeff	S1_start	S1_end	Bitscore1	S2_start	S2_end	Bitscore2
ERR1110319_Contig_8018_31.3591:1.2022	NC_009015.1	NC_019722.1	0.0000	474	713	88.1	256	444	54.2
ERR1110319_Contig_4416_8.36631:1.1819	NC_021347.1	NC_031691.1	0.0000	951	853	31.8	1226	1026	46.6
ERR1110319_Contig_42926_43.7437:1.1815	NC_003278.1	NC_025427.1	0.0000	675	803	48.0	330	452	43.1
ERR1110319_Contig_34715_8.67449:1.1639	NC_013648.1	NC_021325.1	0.0000	197	54	46.4	662	438	46.9
ERR1110319_Contig_71429_9.7215:1.2336	NC_021347.1	NC_023733.1	0.0000	1053	973	37.7	1911	1846	34.1
ERR1110319_Contig_38331_24.1578:1.1972	NC_003085.1	NC_031074.1	0.0815	671	345	127	795	661	35.9
ERR1110319_Contig_36292_22.8786:1.2425	NC_023699.1	NC_031074.1	0.0000	294	362	33.6	2271	2396	36.8
ERR1110319_Contig_36292_22.8786:1.2425	NC_023699.1	NC_031237.1	0.0000	294	362	33.6	1842	1976	36.3
ERR1110319_Contig_36292_22.8786:1.2425	NC_031074.1	NC_031237.1	0.0000	2271	2396	36.8	1842	1976	36.3
ERR1110319_Contig_81552_52.3502:1.1525	NC_028749.1	NC_029073.1	0.0000	1362	1511	57.4	592	819	92.7
ERR1110319_Contig_34923_24.0744:1.1203	NC_018843.1	NC_019713.1	0.0000	776	627	57.0	1109	927	37.7
ERR1110319_Contig_34923_24.0744:1.1203	NC_018843.1	NC_024783.1	0.0000	776	627	57.0	962	861	29.0
ERR1110319_Contig_385_8.41762:1.1768	NC_007581.1	NC_019402.1	0.0000	110	478	74.4	1474	1548	47.8
ERR1110319_Contig_6153_8.68793:1.1760	NC_007581.1	NC_029073.1	0.0000	24	317	65.2	417	545	45.5
ERR1110319_Contig_65144_7.05599:1.1681	NC_023007.1	NC_027341.1	0.0000	1448	1600	48.6	752	862	42.4
ERR1110319_Contig_48463_9.19025:1.1476	NC_023007.1	NC_029119.1	0.1129	5	205	45.8	185	370	43.6
ERR1110319_Contig_32223_8.48629:1.1005	NC_016072.1	NC_024697.1	0.0000	995	870	40.5	856	650	35.4
ERR1110319_Contig_9142_7.07122:1.1719	NC_007917.1	NC_029008.1	0.0000	921	631	48.3	1293	1075	54.2
ERR1121393_Contig_41301_38.1451:1.1881	NC_002512.2	NC_006151.1	0.0000	61	255	45.5	1545	1712	45.1
ERR1121393_Contig_41301_38.1451:1.1881	NC_002512.2	NC_014459.2	0.0000	61	255	45.5	421	564	40.0
ERR1121393_Contig_41301_38.1451:1.1881	NC_002512.2	NC_015210.1	0.0000	61	255	45.5	1040	1186	39.6
ERR1121393_Contig_41301_38.1451:1.1881	NC_006151.1	NC_014459.2	0.0000	1545	1712	45.1	421	564	40.0
ERR1121393_Contig_41301_38.1451:1.1881	NC_006151.1	NC_015210.1	0.0000	1545	1712	45.1	1040	1186	39.6
ERR1121393_Contig_41301_38.1451:1.1881	NC_014459.2	NC_015210.1	0.0000	421	564	40.0	1040	1186	39.6
ERR1121393_Contig_46398_36.1116:1.3729	NC_019506.1	NC_019914.1	0.0000	2201	2019	61.6	3598	3242	73.9
ERR1121393_Contig_46398_36.1116:1.3729	NC_019506.1	NC_029068.1	0.0000	2201	2019	61.6	3127	3014	65.2
ERR1121393_Contig_46398_36.1116:1.3729	NC_019914.1	NC_029068.1	0.0000	3598	3242	73.9	3127	3014	65.2
ERR1121393_Contig_37834_14.2291:1.1072	NC_005261.3	NC_019421.1	0.0000	232	324	32.7	753	875	51.9
ERR1121393_Contig_2840_32.3439:1.1436	NC_006949.1	NC_031249.1	0.0000	262	17	62.0	830	621	72.1
ERR1121393_Contig_7140_13.059:1.1885	NC_019408.1	NC_037667.1	0.0000	1459	1761	37.3	1047	901	40.9
ERR1121393_Contig_38587_6.76082:1.1475	NC_013804.1	NC_021347.1	0.0000	1187	996	47.8	205	330	44.1
ERR1121393_Contig_28728_6.9592:1.1711	NC_019407.1	NC_021858.1	0.0000	1621	1701	35.4	1437	1273	40.5
ERR1121418_Contig_18190_11.4749:1.1256	NC_013646.1	NC_016435.1	0.0000	685	395	71.6	392	303	38.2
ERR1121418_Contig_18190_11.4749:1.1256	NC_013646.1	NC_021311.1	0.0000	685	395	71.6	210	115	46.4
ERR1121418_Contig_18190_11.4749:1.1256	NC_013646.1	NC_028700.1	0.0000	685	395	71.6	346	251	44.6
ERR1121418_Contig_18190_11.4749:1.1256	NC_016435.1	NC_021311.1	0.0000	392	303	38.2	210	115	46.4
ERR1121418_Contig_18190_11.4749:1.1256	NC_021311.1	NC_028700.1	0.0000	210	115	46.4	346	251	44.6
ERR1121418_Contig_48604_10.3867:1.1150	NC_006151.1	NC_019508.1	0.0000	40	138	36.3	783	631	48.3
ERR1121418_Contig_48604_10.3867:1.1150	NC_006151.1	NC_030916.1	0.0000	40	138	36.3	261	362	46.0
ERR1121418_Contig_48604_10.3867:1.1150	NC_006151.1	NC_034382.1	0.0000	40	138	36.3	801	902	40.0
ERR1121418_Contig_48604_10.3867:1.1150	NC_019508.1	NC_030916.1	0.0000	783	631	48.3	261	362	46.0
ERR1121418_Contig_48604_10.3867:1.1150	NC_019508.1	NC_034382.1	0.0000	783	631	48.3	801	902	40.0
ERR1121418_Contig_48604_10.3867:1.1150	NC_030916.1	NC_034382.1	0.0000	261	362	46.0	801	902	40.0
ERR1121418_Contig_22163_9.89249:1.1192	NC_006151.1	NC_021309.1	0.0000	657	547	40.5	712	888	40.9
ERR1121418_Contig_22163_9.89249:1.1192	NC_021309.1	NC_031251.1	0.1964	712	888	40.9	577	744	43.7
ERR1121418_Contig_19669_9.95275:1.1819	NC_019544.1	NC_027990.1	0.0000	1635	1814	52.8	298	468	55.6
ERR1121433_Contig_14772_25.8972:1.1372	NC_001875.2	NC_022331.2	0.0000	655	825	38.6	49	138	44.1
ERR1121433_Contig_4513_20.8265:1.1726	NC_004684.1	NC_013804.1	0.2292	523	365	35.9	397	254	34.5
ERR1121433_Contig_4513_20.8265:1.1726	NC_004684.1	NC_028779.1	0.0000	523	365	35.9	784	671	37.3
ERR1121433_Contig_4513_20.8265:1.1726	NC_013804.1	NC_028779.1	0.0000	397	254	34.5	784	671	37.3
ERR1121433_Contig_44469_7.13047:1.1415	NC_013650.1	NC_022087.1	0.0000	298	146	37.7	657	517	37.3
ERR1121433_Contig_20787_19.3725:1.1596	NC_013648.1	NC_028991.1	0.0000	988	1179	66.6	661	903	54.2
ERR1121433_Contig_20787_19.3725:1.1596	NC_013648.1	NC_031058.1	0.0000	988	1179	66.6	265	645	82.2
ERR1121433_Contig_20787_19.3725:1.1596	NC_028991.1	NC_031058.1	0.0000	661	903	54.2	265	645	82.2
ERR1121433_Contig_37966_21.5125:1.1946	NC_006560.1	NC_019411.1	0.0000	1020	835	46.4	284	75	40.5
ERR1121433_Contig_37966_21.5125:1.1946	NC_006560.1	NC_021858.1	0.0000	1020	835	46.4	559	371	35.9
