accession,qseqid,qlen,sacc,staxids,sscinames,slen,pident,evalue,bitscore,length
DRR042075,NC_001422.1_1:1.10772,10772,NC_001422,10847,Escherichia virus phiX174,5386,99.907,0.0,9919,5386
DRR053213,NC_020859.1_39:1.1654,1654,NC_020859,869662,Synechococcus phage S-RIM2 R1_1999,175430,94.527,0.0,1655,1078
DRR053213,NC_020859.1_48:1.1184,1184,NC_020859,869662,Synechococcus phage S-RIM2 R1_1999,175430,95.824,0.0,1498,934
DRR053213,NC_020859.1_73:1.1111,1111,NC_020859,869662,Synechococcus phage S-RIM2 R1_1999,175430,94.358,0.0,1068,709
DRR053213,NC_020859.1_74:1.1087,1087,NC_020859,869662,Synechococcus phage S-RIM2 R1_1999,175430,92.011,0.0,1055,751
DRR072200,Contig_1344_7.65848:1.2421,2421,NC_011357,563769,Stx2-converting phage 1717,62147,98.347,0.0,2124,1210
DRR072200,Contig_270_13.7171:1.1137,1137,NC_001954,10868,Enterobacteria phage If1,8454,97.104,0.0,990,587
DRR072200,Contig_3907_8.27441:1.1208,1208,NC_011356,564886,Enterobacteria phage YYZ-2008,54896,88.889,0.0,1123,918
DRR072200,Contig_403_6.35847:1.1585,1585,NC_003356,103807,Enterobacteria phage phiP27,42575,91.260,0.0,1194,881
DRR072200,Contig_4151_8.7241:1.2655,2655,NC_011357,563769,Stx2-converting phage 1717,62147,99.417,0.0,3112,1715
DRR072200,Contig_4608_5.01467:1.1315,1315,NC_027339,1225789,Enterobacteria phage SfI,38389,98.006,0.0,1742,1003
ERR011130,NC_024711.1_13:1.1427,1427,NC_024711,1211417,uncultured crAssphage,97065,97.753,0.0,1840,1068
ERR011130,NC_024711.1_20:1.2088,2088,NC_024711,1211417,uncultured crAssphage,97065,97.908,0.0,2150,1243
ERR011130,NC_024711.1_28:1.2581,2581,NC_024711,1211417,uncultured crAssphage,97065,96.580,0.0,3243,1959
ERR011130,NC_024711.1_34:1.2563,2563,NC_024711,1211417,uncultured crAssphage,97065,96.962,0.0,3314,1975
ERR011130,NC_024711.1_45:1.3649,3649,NC_024711,1211417,uncultured crAssphage,97065,96.257,0.0,4453,2725
ERR011130,NC_024711.1_46:1.1541,1541,NC_024711,1211417,uncultured crAssphage,97065,96.731,0.0,1628,979
ERR011130,NC_024711.1_50:1.1578,1578,NC_024711,1211417,uncultured crAssphage,97065,94.859,0.0,1810,1167
ERR011130,NC_024711.1_51:1.1578,1578,NC_024711,1211417,uncultured crAssphage,97065,94.859,0.0,1810,1167
ERR011130,NC_024711.1_68:1.1640,1640,NC_024711,1211417,uncultured crAssphage,97065,94.444,0.0,1849,1206
ERR1110435,Contig_415_1238.28:1.8198,8198,NC_024711,1211417,uncultured crAssphage,97065,95.532,0.0,6650,4163
ERR1110435,Contig_641_1548.62:1.2684,2684,NC_024711,1211417,uncultured crAssphage,97065,95.874,0.0,3273,2036
ERR1110468,NC_024711.1_1:1.49296,49296,NC_024711,1211417,uncultured crAssphage,97065,97.168,0.0,46566,27574
ERR1110468,NC_024711.1_2:1.43906,43906,NC_024711,1211417,uncultured crAssphage,97065,97.342,0.0,56805,33443
ERR1110468,NC_024711.1_3:1.28067,28067,NC_024711,1211417,uncultured crAssphage,97065,96.153,0.0,35318,21654
ERR1110468,NC_024711.1_4:1.22582,22582,NC_024711,1211417,uncultured crAssphage,97065,97.630,0.0,30360,17719
ERR1110468,NC_024711.1_6:1.13027,13027,NC_024711,1211417,uncultured crAssphage,97065,94.876,0.0,11337,7280
ERR1110468,NC_024711.1_8:1.5288,5288,NC_024711,1211417,uncultured crAssphage,97065,95.542,0.0,6532,4105
ERR1121418,Contig_7183_9.78157:1.2277,2277,NC_016770,1105171,Bacteroides phage B124-14,47159,93.740,0.0,1910,1278
