#Original	New
ERR1857044_NC_009333.1_1:1.1208	LOC_1
ERR1857044_Contig_20805_12.6024:1.1036	LOC_2
ERR1857044_Contig_51786_21.3643:1.1258	LOC_3
ERR1857044_Contig_59750_315.717:1.4614	LOC_4
ERR1857044_Contig_3802_13.5786:1.1624	LOC_5
ERR1857044_Contig_15965_460.575:1.1480	LOC_6
ERR1857044_Contig_11768_317.005:1.14169	LOC_7
ERR1857044_Contig_8042_429.501:1.2253	LOC_8
ERR1857044_Contig_17048_6.56446:1.1618	LOC_9
ERR1857044_Contig_61919_489.132:1.5333	LOC_10
ERR1857044_Contig_7989_589.176:1.1983	LOC_11
ERR1857044_Contig_25085_425.503:1.1381	LOC_12
ERR1857044_Contig_33596_367.503:1.1484	LOC_13
ERR1857044_Contig_90037_10.4977:1.1567	LOC_14
ERR1857044_Contig_51355_415.706:1.4104	LOC_15
ERR1857044_Contig_36873_42.1691:1.1368	LOC_16
ERR1857044_Contig_9586_11.092:1.1846	LOC_17
ERR1857044_Contig_50343_3033.14:1.1532	LOC_18
ERR1857044_Contig_41594_8.31901:1.1440	LOC_19
ERR1857044_Contig_33554_354.096:1.5097	LOC_20
ERR1857044_Contig_84304_363.829:1.1283	LOC_21
ERR1857044_Contig_78270_407.282:1.2170	LOC_22
ERR1857044_Contig_42042_11.827:1.2535	LOC_23
ERR1857044_Contig_11633_22.3015:1.1536	LOC_24
ERR1857044_Contig_81168_425.769:1.1019	LOC_25
ERR1857044_Contig_33569_6.07827:1.1106	LOC_26
ERR1857044_Contig_4536_6.69312:1.1154	LOC_27
ERR1857044_Contig_65373_22.8755:1.1120	LOC_28
ERR1857044_Contig_92821_12.9841:1.2221	LOC_29
ERR1857044_Contig_85064_339.758:1.3100	LOC_30
ERR1857044_Contig_30154_389.157:1.4607	LOC_31
ERR1857044_Contig_81269_11.6542:1.2140	LOC_32
ERR1857044_Contig_86740_431.797:1.3871	LOC_33
ERR1857044_Contig_6477_2252.17:1.1775	LOC_34
ERR1857044_Contig_54789_346.809:1.3596	LOC_35
ERR1857044_Contig_81893_471.929:1.5360	LOC_36
ERR1857044_Contig_1144_10.0192:1.1479	LOC_37
ERR1857044_Contig_69146_409.051:1.4670	LOC_38
ERR1857044_Contig_3016_382.454:1.1146	LOC_39
ERR1857044_Contig_92863_363.444:1.1945	LOC_40
ERR1857044_Contig_12751_474.605:1.3030	LOC_41
ERR1857044_Contig_62873_479.376:1.10423	LOC_42
ERR1857044_Contig_21768_434.123:1.3991	LOC_43
ERR1857044_Contig_3412_18.8936:1.1890	LOC_44
ERR1857044_Contig_44472_432.511:1.2819	LOC_45
ERR1857044_Contig_91771_592.188:1.3582	LOC_46
ERR1857044_Contig_59671_11.395:1.1797	LOC_47
ERR1857044_Contig_90863_373.137:1.1611	LOC_48
ERR1857044_Contig_19520_15.4189:1.1894	LOC_49
ERR1857044_Contig_57565_395.995:1.1055	LOC_50
ERR1857044_Contig_27752_318.992:1.5151	LOC_51
ERR1857044_Contig_17747_415.677:1.3078	LOC_52
ERR1857044_Contig_90659_239.527:1.3619	LOC_53
ERR1857044_Contig_13889_190.59:1.1302	LOC_54
ERR1857044_Contig_38031_40.2782:1.1968	LOC_55
ERR1857044_Contig_59907_367.641:1.4615	LOC_56
ERR1857044_Contig_25061_2270:1.1076	LOC_57
ERR1857044_Contig_6080_402.679:1.1467	LOC_58
ERR1857044_Contig_16523_387.304:1.2288	LOC_59
ERR1857044_Contig_6338_391.629:1.1474	LOC_60
ERR1857044_Contig_4792_375.626:1.4584	LOC_61
ERR1857044_Contig_70272_5.33034:1.1022	LOC_62
ERR1857044_Contig_63062_334.884:1.1667	LOC_63
ERR1857044_Contig_7315_382.019:1.3859	LOC_64
ERR1857044_Contig_6784_24.4124:1.1230	LOC_65
ERR1857044_Contig_71525_11.8844:1.1179	LOC_66
ERR1857044_Contig_85191_21.8455:1.1761	LOC_67
ERR1857044_Contig_21581_11.6569:1.1113	LOC_68
ERR1857044_Contig_92936_407.85:1.8780	LOC_69
ERR1857044_Contig_6849_2300.32:1.1125	LOC_70
ERR1857044_Contig_20275_24.5955:1.1167	LOC_71
ERR1857044_Contig_48296_10.5674:1.3728	LOC_72
ERR1857044_Contig_81253_423.45:1.4288	LOC_73
ERR1857044_Contig_11389_326.373:1.2834	LOC_74
ERR1857044_Contig_71854_311.665:1.2101	LOC_75
ERR1857044_Contig_55278_18.3304:1.2889	LOC_76
ERR1857044_Contig_24647_491.307:1.1380	LOC_77
ERR1857044_Contig_20313_422.318:1.1039	LOC_78
