accession,qseqid,qlen,sacc,staxids,sscinames,slen,pident,evalue,bitscore,length
DRR053213,NC_020859.1_10:1.1937,1937,NC_020859,869662,Synechococcus phage S-RIM2 R1_1999,175430,98.967,0.0,3465,1937
DRR053213,NC_020859.1_11:1.2509,2509,NC_020859,869662,Synechococcus phage S-RIM2 R1_1999,175430,86.693,0.0,2741,2510
DRR053213,NC_020859.1_12:1.1711,1711,NC_020859,869662,Synechococcus phage S-RIM2 R1_1999,175430,98.275,0.0,2944,1681
DRR053213,NC_020859.1_13:1.2278,2278,NC_020859,869662,Synechococcus phage S-RIM2 R1_1999,175430,90.370,0.0,2671,2056
DRR053213,NC_020859.1_14:1.1885,1885,NC_020859,869662,Synechococcus phage S-RIM2 R1_1999,175430,91.498,0.0,2588,1882
DRR053213,NC_020859.1_15:1.1542,1542,NC_020859,869662,Synechococcus phage S-RIM2 R1_1999,175430,98.189,0.0,2695,1546
DRR053213,NC_020859.1_16:1.2066,2066,NC_020859,869662,Synechococcus phage S-RIM2 R1_1999,175430,90.100,0.0,2477,1909
DRR053213,NC_020859.1_183:1.1189,1189,NC_031944,1815521,Synechococcus phage S-WAM1,185102,88.908,0.0,1465,1190
DRR053213,NC_020859.1_18:1.1408,1408,NC_020859,869662,Synechococcus phage S-RIM2 R1_1999,175430,99.148,0.0,2534,1408
DRR053213,NC_020859.1_198:1.1263,1263,NC_031944,1815521,Synechococcus phage S-WAM1,185102,85.763,0.0,1225,1173
DRR053213,NC_020859.1_19:1.1346,1346,NC_020859,869662,Synechococcus phage S-RIM2 R1_1999,175430,99.777,0.0,2470,1346
DRR053213,NC_020859.1_20:1.2367,2367,NC_021536,754039,Synechococcus phage S-IOM18,171797,85.900,0.0,2518,2383
DRR053213,NC_020859.1_21:1.1341,1341,NC_020859,869662,Synechococcus phage S-RIM2 R1_1999,175430,99.478,0.0,2438,1341
DRR053213,NC_020859.1_23:1.1578,1578,NC_020859,869662,Synechococcus phage S-RIM2 R1_1999,175430,92.337,0.0,2191,1553
DRR053213,NC_020859.1_24:1.1913,1913,NC_021536,754039,Synechococcus phage S-IOM18,171797,87.514,0.0,2026,1762
DRR053213,NC_020859.1_256:1.1384,1384,NC_031944,1815521,Synechococcus phage S-WAM1,185102,87.608,0.0,1604,1388
DRR053213,NC_020859.1_25:1.1225,1225,NC_020859,869662,Synechococcus phage S-RIM2 R1_1999,175430,99.673,0.0,2241,1225
DRR053213,NC_020859.1_26:1.1658,1658,NC_020859,869662,Synechococcus phage S-RIM2 R1_1999,175430,90.381,0.0,2097,1601
DRR053213,NC_020859.1_27:1.1284,1284,NC_020859,869662,Synechococcus phage S-RIM2 R1_1999,175430,96.235,0.0,2087,1275
DRR053213,NC_020859.1_2:1.2902,2902,NC_020859,869662,Synechococcus phage S-RIM2 R1_1999,175430,99.035,0.0,5204,2902
