Contig	Protein ID	Start	Stop	Strand	size_aa	pI	Mol_weight_kDa	Instability_index	Description	Source	Perc_ID	Perc_Cov	E-value	Refinement	PVOG	Perc_ID	Perc_Cov	E-value
LOC_10	LOC_10_1	105	891	1	261	5.11700439453	30.03436	27.567816092	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
LOC_10	LOC_10_2	962	3746	1	927	5.06536865234	104.40705	26.0167313916	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
LOC_10	LOC_10_3	4117	4354	-1	78	9.69635009766	8.67185	24.3487179487	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
LOC_100	LOC_100_1	58	796	1	245	6.45306396484	27.24971	51.6424489796	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
LOC_100	LOC_100_2	792	2166	1	457	8.53912353516	51.62066	45.4266958425	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
LOC_1000	LOC_1000_1	354	1212	-1	285	9.17156982422	33.13128	27.9203508772	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
LOC_1001	LOC_1001_1	65	929	-1	287	8.29107666016	31.2775	28.7358885017	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
LOC_1002	LOC_1002_1	37	901	1	287	9.23931884766	32.31858	33.3567944251	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
LOC_1002	LOC_1002_2	897	1797	1	299	5.42535400391	34.17389	50.1070234114	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
LOC_1002	LOC_1002_3	1799	2669	1	289	5.47698974609	32.88623	43.9297923875	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
LOC_1003	LOC_1003_1	95	944	1	282	5.30633544922	31.01218	30.0677304965	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
LOC_1004	LOC_1004_1	51	936	1	294	4.69439697266	33.58611	35.5496598639	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
LOC_1005	LOC_1005_1	30	852	1	273	4.95977783203	31.09111	36.5010989011	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
LOC_1005	LOC_1005_2	883	2257	1	457	4.43035888672	50.86329	26.33702407	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
LOC_1006	LOC_1006_1	372	852	-1	159	7.65252685547	18.26178	30.369245283	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
LOC_1006	LOC_1006_2	935	1535	-1	199	4.86810302734	22.05163	19.2916582915	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
LOC_1007	LOC_1007_1	65	371	-1	101	11.270324707	11.69072	45.3079207921	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
LOC_1008	LOC_1008_1	17	1427	1	469	9.04718017578	52.05349	34.712196162	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
LOC_1009	LOC_1009_1	35	356	1	106	8.38336181641	12.55074	44.5301886792	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
LOC_1009	LOC_1009_2	374	785	1	136	9.61773681641	15.72774	31.2727941176	Hypothetical protein	NO_HIT	NA	NA	NA	YES	VOG0371	74.0	65.1006711409	0.0006
LOC_1009	LOC_1009_3	794	1832	1	345	7.60491943359	38.88418	37.6063768116	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
LOC_101	LOC_101_1	1	364	1	120	4.73870849609	13.30628	29.7616666667	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
LOC_101	LOC_101_2	606	2367	1	586	5.14923095703	63.29943	17.6629692833	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
LOC_1011	LOC_1011_1	90	1335	1	414	5.43475341797	47.82649	46.0439613527	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
LOC_1011	LOC_1011_2	1380	1854	1	157	4.67730712891	17.53491	41.9095541401	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
LOC_1012	LOC_1012_1	600	909	1	102	4.18585205078	10.69593	34.5049019608	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
LOC_1013	LOC_1013_1	145	1609	1	487	6.66668701172	55.55318	50.8150308008	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
LOC_1014	LOC_1014_1	705	864	-1	52	7.95806884766	6.05417	40.2807692308	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
LOC_1015	LOC_1015_1	24	2466	1	813	4.79095458984	90.46074	20.7343542435	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
LOC_1016	LOC_1016_1	16	565	1	182	10.6423950195	20.53764	58.0285714286	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
LOC_1016	LOC_1016_2	522	996	-1	157	10.9185180664	17.83652	57.2050955414	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
LOC_1017	LOC_1017_1	714	906	1	63	7.78741455078	7.11128	37.9793650794	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
LOC_1018	LOC_1018_1	54	477	1	140	9.41961669922	15.43884	34.8135714286	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
LOC_1018	LOC_1018_2	479	1025	1	181	5.56976318359	20.70611	50.3215469613	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
LOC_1018	LOC_1018_3	1111	1402	1	96	9.91058349609	11.10273	45.3833333333	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
LOC_1019	LOC_1019_1	67	997	1	309	9.50518798828	35.97911	35.927184466	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
LOC_102	LOC_102_1	34	178	1	47	9.51531982422	5.23384	50.7744680851	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
LOC_102	LOC_102_2	180	801	1	206	5.67144775391	23.39055	28.0742718447	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
LOC_102	LOC_102_3	817	955	1	45	9.77838134766	5.44127	-12.9533333333	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
LOC_102	LOC_102_4	1014	1281	1	88	5.20733642578	10.41212	33.0647727273	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
LOC_102	LOC_102_5	1402	1642	1	79	4.90167236328	9.17229	46.3088607595	Hypothetical protein	NO_HIT	NA	NA	NA	NO	NO	NA	NA	NA
